👀,eyes
🙌,raised_hands
🙏,pray
➕,heavy_plus_sign
👏,clap
💡,bulb
🎯,dart
👋,wave
👍,thumbsup
🎉,tada
📣,mega
⚪,white_circle
🔵,large_blue_circle
🔴,red_circle
😁,joy
🤣,rolling_on_the_floor_laughing
😃,smiley
😊,smile
😅,sweat_smile
😉,wink
😳,blush
😋,yum
😎,sunglasses
😍,heart_eyes
😘,kissing_heart
😗,kissing
😙,kissing_smiling_eyes
😚,kissing_closed_eyes
😌,relaxed
🙂,slightly_smiling_face
🤗,hugging_face
🤩,star-struck
🤔,thinking_face
🤨,face_with_raised_eyebrow
😐,neutral_face
😑,expressionless
😶,no_mouth
🙄,face_with_rolling_eyes
😏,smirk
😣,persevere
😥,disappointed_relieved
😮,open_mouth
🤐,zipper_mouth_face
😯,hushed
😴,sleepy
😫,tired_face
😴,sleeping
😌,relieved
😛,stuck_out_tongue
😜,stuck_out_tongue_winking_eye
😝,stuck_out_tongue_closed_eyes
🤤,drooling_face
😒,unamused
😓,sweat
😔,pensive
😕,confused
🙃,upside_down_face
🤑,money_mouth_face
😲,astonished
☹️,white_frowning_face
🙁,slightly_frowning_face
😖,confounded
😞,disappointed
😟,worried
😤,triumph
😢,cry
😭,sob
😦,frowning
😧,anguished
😨,fearful
😩,weary
🤯,exploding_head
😬,grimacing
😰,cold_sweat
😱,scream
😳,flushed
🤪,zany_face
😵,dizzy_face
😡,rage
😠,angry
🤬,face_with_symbols_on_mouth
😷,mask
🤒,face_with_thermometer
🤕,face_with_head_bandage
🤢,nauseated_face
🤮,face_vomiting
🤧,sneezing_face
😇,innocent
🤠,face_with_cowboy_hat
🤡,clown_face
🤥,lying_face
🤫,shushing_face
🤭,face_with_hand_over_mouth
🧐,face_with_monocle
🤓,nerd_face
😈,smiling_imp
👿,imp
👹,japanese_ogre
👺,japanese_goblin
💀,skull
☠️,skull_and_crossbones
👻,ghost
👽,alien
👾,space_invader
🤖,robot_face
💩,hankey
😺,smiley_cat
😸,smile_cat
😹,joy_cat
😻,heart_eyes_cat
😼,smirk_cat
😽,kissing_cat
🙀,scream_cat
😿,crying_cat_face
😾,pouting_cat
🙈,see_no_evil
🙉,hear_no_evil
🙊,speak_no_evil
👶,baby
🧒,child
👦,boy
👧,girl
🧑,adult
👨,man
👩,woman
🧓,older_adult
👴,older_man
👵,older_woman
👨‍⚕️,male-doctor
👩‍⚕️,female-doctor
👨‍🎓,male-student
👩‍🎓,female-student
👨‍🏫,male-teacher
👩‍🏫,male-teacher
👨‍⚖️,male-judge
👩‍⚖️,female-judge
👨‍🌾,male-farmer
👩‍🌾,female-farmer
👨‍🍳,male-cook
👩‍🍳,female-cook
👨‍🔧,male-mechanic
👩‍🔧,female-mechanic
👨‍🏭,male-factory-worker
👩‍🏭,female-factory-worker
👨🏻‍💼,male-office-worker
👩🏻‍💼,female-office-worker
👨‍🔬,male-scientist
👩‍🔬,female-scientist
👨‍💻,male-technologist
👩‍💻,female-technologist
👨‍🎤,male-singer
👩‍🎤,female-singer
👨‍🎨,male-artist
👩‍🎨,female-artist
👨‍✈️,male-pilot
👩‍✈️,female-pilot
👨‍🚀,male-astronaut
👩‍🚀,female-astronaut
👨‍🚒,male-firefighter
👩‍🚒,female-firefighter
👮‍♂️,male-police-officer
👮‍♀️,female-police-officer
🕵️‍♂️,male-detective
🕵️‍♀️,female-detective
💂‍♂️,male-guard
💂‍♀️,female-guard
👷‍♂️,male-construction-worker
👷‍♀️,female-construction-worker
🤴,prince
👸,princess
👳‍♂️,man-wearing-turban
👳‍♀️,woman-wearing-turban
👲,man_with_gua_pi_mao
🧕,person_with_headscarf
🧔,bearded_person
👱‍♂️,blond-haired-man
👱‍♀️,blond-haired-woman
🤵‍♂️,man_in_tuxedo
👰,bride_with_veil
🤰,pregnant_woman
🤱,breast-feeding
👼,angel
🎅,santa
🤶,mrs_claus
🧙‍♀️,female_mage
🧙‍♂️,male_mage
